Vmag,Plx,B-V,Abs Mag
6.2,6.24,0.133,1.9296308206351522
7.64,5.87,0.493,1.4067237975047713
8.95,8.23,0.653,0.5892003295754605
7.48,2.87,1.532,2.0922362065320153
7.06,20.63,0.463,0.5470015440536973
7.33,9.37,1.011,1.1245208182244433
8.98,1.52,0.739,2.0443128241104547
8.24,7.19,0.271,0.9905422192342346
8.53,7.21,0.909,0.872129470561142
8.4,2.19,1.014,1.9591117703197631
7.48,7.51,0.466,1.256720125991663
8.46,1.63,1.59,2.1916247911920843
9.29,2.41,1.01,1.5199659148502636
8.57,5.48,0.249,1.0944388830312615
8.7,30.76,0.798,-0.4559726622587867
8.5,10.08,0.451,0.5930789357809871
8.37,8.86,0.595,0.7571325562258988
6.87,6.05,1.124,1.6884892506950617
7.5,2.5,1.703,2.204119982655925
7.39,2.53,-0.018,2.2377589576483645
8.19,8.21,0.584,0.8953136857611185
7.56,2.74,0.9,2.100498874359224
8.37,9.73,0.379,0.6757743194632966
7.39,5.37,1.008,1.584051428600889
6.73,10.14,0.951,1.295924090005365
8.66,2.38,0.79,1.7828460858869761
8.25,2.89,0.17,1.7782043144869042
8.47,3.33,0.953,1.5671115329873602
8.01,9.58,0.456,0.833268981842911
6.83,7.84,1.158,1.479367874631123
9.06,1.6,1.074,1.96776003468815
8.79,4.21,1.127,1.2354358083286638
7.44,7.19,0.478,1.3105422192342346
6.43,6.69,-0.146,1.7771477644643539
5.93,12.45,0.141,1.43766129713649
8.85,4.31,1.196,1.1910454596785371
9.86,4.43,0.244,0.7631925475538612
8.55,7.06,0.964,0.8823905978963922
7.66,5.76,0.181,1.4151550331535758
7.82,21.83,0.61,0.1938925285817213
9.08,11.55,0.595,0.24283603154367342
10.1,5.57,0.57,0.46828960965254235
8.21,3.5,1.087,1.6278639112994484
8.85,7.79,0.631,0.6769250846548711
7.79,1.17,1.45,2.747628276507677
7.58,3.64,1.271,1.845797232701888
7.85,10.66,0.505,0.8044855906188932
7.18,8.95,0.156,1.2243539293681764
7.54,3.83,0.408,1.8176024520627543
